"ColorName","ColorId","ColorHex"
"Petúnia Rosa","G140","#F8D4CF"
"Surpresa","B579","#F6C3BD"
"Rosa-angelical","A105","#F3D9D5"
"Petit-suisse","C109","#FAC1BE"
"Suco de Maçã","B109","#F9D8CF"
"Rosa Laranja","C582","#F5B9AA"
"Renda Delicada","A583","#F5CFC8"
"Espumante Rosé","A109","#F4DED5"
"Salada de Frutas","S094","#F6C1AE"
"Lábio Rosado","A585","#EFBFB2"
"Festa-surpresa","B110","#F7D5CA"
"Bem-estar","B586","#F5BFA3"
"Batida de Pêssego","B256","#FDBC9B"
"Amendoeira em Flor","H130","#F8D0BD"
"Tarde de Outono","K094","#FCBEA4"
"Flan de Pêssego","S090","#F5CFB9"
"Perfume de Bebê","B115","#F9C2A6"
"Orvalho","B008","#F2DED5"
"Suave Verão","B589","#EECEC1"
"Maria-mole","B261","#FCCEB4"
"Sorvete de Mamão","C114","#FEBE9A"
"Naturale","J091","#F9D0B5"
"Néctar de Pêssego","J090","#FDC59F"
"Jazz","G091","#F6DEC7"
"Espuma de Pêssego","B592","#F7CEAF"
"Moranga","B123","#F9C9A2"
"Caju","D266","#FFBA81"
"Cacharrel","B112","#F5D5BF"
"Waffle","C124","#FDCDAA"
"Nêspera","D121","#FDC293"
"Início do Verão","A594","#F1C3A3"
"Gergelim","A112","#F2D9C7"
"Aquarela Pêssego","B595","#FBCDAD"
"Talco","A110","#F5DFD3"
"Nuvem de Pêssego","B596","#F4D2BF"
"Capela","B114","#F9D5BA"
"Base Soft","C271","#F0C49F"
"Damasco Suave","A598","#F6C8A0"
"Mousse de Cenoura","A115","#F6D9BE"
"Sonho de Verão","C121","#FBD0A8"
"Cordel","C599","#FBBE8A"
"Palomino","A118","#F6E3D4"
"Aconchego","B121","#FAD8B7"
"Panqueca Doce","C128","#F9C791"
"Ciranda","E130","#FDBE81"
"Doce Mandarim","A601","#FFD593"
"Frescor de Laranja","B601","#FFCE92"
"Bacupari do Cerrado","C601","#FFC27C"
"Brioche","A125","#F6E2C0"
"Guardanapo de Festa","B602","#FACF9C"
"Pérola Cintilante","B120","#FADDBF"
"Bico-de-pato","C134","#FBD6AC"
"Doce de Damasco","D129","#F6C68C"
"Crema","A021","#F3E0C9"
"Croissant","B032","#EFD4AF"
"Cuíca","C604","#F0C583"
"Marmelo","C021","#F4DEC2"
"Amarelo dos Andes","B128","#F9D4A8"
"Broa de Milho","D136","#FFD08F"
"Flocos de Milho","D279","#F7C576"
"Rosa-champanhe","A606","#FCDDAC"
"Frescor da Manhã","B606","#FDD494"
"Sossego de Verão","C606","#FDC666"
"Madrepérola","C030","#F8E2B9"
"Cera de Abelha","C135","#F8D9A0"
"Grão-de-bico","D033","#FAD68C"
"Cacau da Bahia","D137","#FFD171"
"Laranjeira","E028","#FFC756"
