"ColorName","ColorId","ColorHex"
"PALHA (FOSCO)","15","#f7f2d5"
"AMARELO CAMBURI","09","#fdf2bc"
"VERDE PISCINA"," 07","#B0E6D8"
"VERDE ITACARÉ","88","#DCEEC6"
"VANILLA"," 59","#fdefa4"
"PALHA","69","#faf4dc"
"MEL (FOSCO)","52","#eac994"
"VERDE PALMEIRA","44","#7FA775"
"VERDE PERA"," 62","#F8FFD1"
"VERDE SUAVE","83","#E5FEF8"
"MARFIM (SEMIBRILHO)","16","#faf6c6"
"AMARELO (SEMIBRILHO)","36","#fcb92c"
"AMARELO CANÁRIO"," 08","#fdfa91"
"AMARELO GAROPABA","54","#fde9a0"
"LARANJA CÍTRICO","37","#fcbb45"
"VERDE TROPICAL","84","#4BAB61"
"VANILA (FOSCO)","59","#fff9c3"
"VERDE FOLHA","45","#1D672C"
"AMARELO SOL"," 26","#ffd461"
"VERDE","81","#547761"
"PÉROLA (SEMIBRILHO)","23","#f7ecd0"
"VERDE (SEMIBRILHO)","35","#258851"
"VERDE COLONIAL","12","#385448"
"VERDE KIWI"," 30","#A6CD98"
"VERDE AMAZONAS","86","#94BD95"
"MARFIM (FOSCO)","06","#fefacb"
"PALHA ITAÚNAS","04","#fffff2"
"Ilha do Amor","SW6750","#c0e3da"
"Refrescar","SW6751","#a1d4c8"
"Pedra do Mar","SW9043","#89c6b7"
"Pedaço do Paraíso","SW6752","#70baa7"
"Jardim Sublime","SW6753","#53A38F"
"Bosque dos Namorados","SW6754","#368976"
"Planeta Verde","SW6755","#016c4f"
"Equilíbrio","SW6757","#c1e6df"
"Aqueduto","SW6758","#a1d5cb"
"Caixa de Joia","SW9044","#8ac5ba"
"Água Termal","SW6759","#75b9ae"
"Rio Sucuri","SW6760","#61a89d"
"Cascata Encantada","SW6761","#3b8c80"
"Deus dos Mares","SW6762","#016d60"
"Natação","SW6764","#c2e5e5"
"SPA","SW6765","#a7dcdc"
"Praia de Boa Viagem","SW9045","#92d0d0"
"Bonequinha de Luxo","SW6766","#6ec2c4"
"Aquário","SW6767","#3aa9ae"
"Corrente Marítima","SW6768","#01858b"
"Tempo Certo","SW6769","#017478"
"Banho Azul","SW6771","#c2e0e3"
"Ilhota","SW6772","#a6d0d6"
"Águas Belas","SW9046","#97cbd2"
"Êxtase Azul","SW6773","#7dc1cb"
"Água-doce","SW6774","#4da6b2"
"Água Salgada","SW6775","#08808e"
"Lagoa Imperial","SW6776","#01717e"
"Lá Longe","SW6778","#c6e3e8"
"Líquido Azul","SW6779","#a6d4de"
"Depois da Tempestade","SW9047","#8bc4d1"
"Delírio Azul","SW6780","#71b8c7"
"Baía dos Porcos","SW6781","#34a3b6"
"Cruzeiro em Alto-mar","SW6782","#018498"
"Costa Amalfitana","SW6783","#016e85"
"Azul Traquilidade","SW6785","#b4e0e7"
"Nuvem do Céu","SW6786","#8fd0dd"
"Ondas do Surfe","SW9048","#73c0d2"
"Praia do Farol","SW6787","#56b5ca"
"Capri","SW6788","#01a0b8"
"Mesquita Azul","SW6789","#01819e"
"Mar Adriático","SW6790","#016081"
"Ventos da Paz","SW6792","#b7dfe8"
"Azul Liberdade","SW6793","#a2d5e7"
"Queda Livre","SW9049","#89c6df"
"Caminho Azul","SW6794","#5db3d4"
"Azul Menino","SW6795","#289ec4"
"Louça Portuguesa","SW6796","#017ca7"
"Gralha-azul","SW6797","#015d87"
