"ColorName","ColorId","ColorHex"
"Sorvete de Menta","2541E","#D0F1D4"
"Paraíso Tropical","2542E","#B8E5BA"
"Empolgante","2543E","#A5DBAA"
"Primavera Irlandesa","2544E","#8ED092"
"Kiwi Maduro","2545E","#5BB96B"
"Bambu Chinês","2546E","#2D9246"
"Vinho de Uva Verde","2547E","#EEF4E8"
"Gotas de Primavera","2548E","#CFE7CF"
"Aroma do Interior","2549E","#B7DAB9"
"Anfíbio","2550E","#9AC79C"
"Cacto do Sertão","2551E","#7AB37E"
"Jardim de Ervas","2552E","#69A572"
"Folhas de Rúcula","2553E","#386F50"
"Salada de Pepino","2554E","#E0ECDE"
"Bebida Refrescante","2555E","#CDE0CA"
"Ervas Especiais","2556E","#BAD4B7"
"Noz de Pistache","2557E","#8CAF8F"
"Olhos Verdes","2558E","#82A682"
"Árvore de Natal","2559E","#6A946E"
"Exército","2560E","#547153"
"Limonada Suíça","2561E","#ECEFE4"
"Verão Verde","2562E","#E4F0DA"
"Picolé de Limão","2563E","#D5EFCA"
"Mix de Folhas","2564E","#BDE6AC"
"Pássaro Verde","2565E","#96D58E"
"Suco de Clorofila","2566E","#6BBF67"
"Campo de Futebol","2567E","#339A3F"
"Água de Coco","2568E","#E8F0E5"
"Espuma da Maré","2569E","#D5DDD0"
"Lírio Verde","2570E","#BECBB9"
"Azeite Português","2571E","#A5B399"
"Selvagem","2572E","#879B80"
"Folha de Louro","2573E","#70896C"
"Pimenta Verde","2574E","#517051"
"Toque de Limão","2575E","#F2F2E8"
"Caipirinha","2576E","#D8E8C4"
"Aroma de Alecrim","2577E","#BED9A6"
"Cheiro Verde","2578E","#AED191"
"Grama Fresca","2579E","#97BE6F"
"Pico da Colina","2580E","#81AD5E"
"Clorofila","2581E","#529246"
"Papel de carta","2582E","#EEEEE6"
"Uva Verde","2583E","#E9F4D4"
"Ecológica","2584E","#D4EBB3"
"Lima","2585E","#C4E8A0"
"Botânica","2586E","#ACD883"
"Vitória Régia","2587E","#88C85A"
"Brasão Irlandês","2588E","#66B238"
"Vista da Montanha","2589E","#ECEFDC"
"Verde Oliva","2590E","#E7EBCA"
"Suco de Limão","2591E","#E1E8B2"
"Alface","2592E","#D6E7A3"
"Alho Poró","2593E","#C3E285"
"Marca Texto","2594E","#A6CF55"
"Jardim Botânico","2595E","#85B73E"
"Manhã em São Paulo","2596E","#E7E9DE"
"Dias de Chuva","2597E","#D3D6CB"
"Férias de Julho","2598E","#BEC1B6"
"Urano","2599E","#9EA293"
"Floresta Escura","2600E","#848877"
"Verde Musgo","2601E","#717A69"
"Militar","2602E","#566757"
"Chá Branco","2603E","#E3E5D7"
"Silvestre","2604E","#D8DCCD"
"Fina Seda","2605E","#C4C9B3"
"Erva-Mate","2606E","#ACB298"
"Orégano","2607E","#91977B"
"Cacto Imperial","2608E","#7A8469"
"Parede de Jardim","2609E","#5F644E"
"Perfume de Ervas","2610E","#EAEADE"
"Luminância","2611E","#DBE5CD"
"Vida no Campo","2612E","#C4D2B1"
"Caule","2613E","#AAB894"
"Doce de Mamão","2614E","#91A079"
"Selva","2615E","#83946A"
"Lagoa de Musgo","2616E","#677551"
"Uva Branca","2617E","#EFF0DE"
"Flora","2618E","#E7ECD6"
"Soberano","2619E","#D8E7C0"
"Batida de Kiwi","2620E","#C1D69B"
"Aloe Vera","2621E","#A0BA79"
"Guacamole","2622E","#92AE64"
"Plantas Medicinais","2623E","#6E8C4C"
"Refresco Natural","2624E","#EEF0DA"
"Cidra","2625E","#E8EAC5"
"Verdura","2626E","#DAE9AE"
"Creme de Ervilhas","2627E","#D0DC92"
"Gramado","2628E","#C3D088"
"Casca do Limão","2629E","#98B155"
"Quadra de Tênis","2630E","#75983E"
"Praia de Angra","2631E","#F0F2DA"
"Colônia de Férias","2632E","#ECF2CC"
"Chuchu","2633E","#E0E9B2"
"Mágica do Elfo","2634E","#D8E59D"
"Macieira","2635E","#C5D980"
"Vale Sinuoso","2636E","#A6C659"
"Energético","2637E","#7FA840"
"Clareira","2638E","#EDF4CB"
"Limoeiro","2639E","#EEF4C4"
"Fruta Fresca","2640E","#E8F1B2"
"Bola de Tênis","2641E","#D8E78A"
"Cítrico","2642E","#D0E181"
"Vagalume","2643E","#BAD064"
"Trevo da Sorte","2644E","#87B93E"
"Garapa","2645E","#EAEADE"
"Rio Verde","2646E","#E1E3CB"
"Píton","2647E","#D0D4AF"
"Cana de Açúcar","2648E","#B7BD91"
"Folhas de Chá","2649E","#9DA373"
"Oliva Grega","2650E","#8B9165"
"Mata Fechada","2651E","#666C48"
"Toque de Maciez","2652E","#EEF0DB"
"Energia","2653E","#E3E7C2"
"Sustentabilidade","2654E","#E3E1BA"
"Iguana","2655E","#CFD190"
"Jardim do Éden","2656E","#B1B568"
"Folha de Figo","2657E","#A8AC5F"
"Musgo","2658E","#8C8F4A"
"Goiaba Branca","2659E","#F0F0E4"
"Verde Macio","2660E","#EDE9CE"
"Jardim Suspenso","2661E","#DFDBC0"
"Pantanal","2662E","#BFB790"
"Vilarejo","2663E","#A69E7A"
"Alcachofra","2664E","#989061"
"Plantação de Mate","2665E","#726A53"
"Papiro","2666E","#F1EEDB"
"Camomila","2667E","#F0ECBF"
"Grama Nova","2668E","#EBE2A1"
"Capim Santo","2669E","#E2DB8D"
